# /Advice
Commands.Players.Advice.Advice:				[Anfrage{0}] {1}: "{2}"
Commands.Players.Advice.AdvicersOn:			Es sind {0} Ratgeber online!

# /Advisor
Commands.Players.Advisor.Off:				Eure Ratgeberkennung wurde ausgeschaltet.
Commands.Players.Advisor.On:				Ihr seid nun als Ratgeber in Eurem Reich aktiv. Das Ratgeber-System wird von Spielern betrieben und benutzt, die anderen Leuten bei Problemen mit dem Spiel helfen wollen. Bitte aktiviert diese Funktion nur dann, wenn Ihr anderen Spielern helfen wollt.\nWenn Ihr wieder Eure Ruhe haben und nicht mehr als Ratgeber tätig sein wollt, gebt einfach erneut '/advisor' ein.

# /Afk
Commands.Players.Afk.Off:				AFK ausgeschaltet.
Commands.Players.Afk.On:					AFK eingeschaltet.

# /Anonymous
Commands.Players.Anonymous.Error:			Anonymer Modus ist deaktiviert.
Commands.Players.Anonymous.Off:				Anonymer Modus AUS.
Commands.Players.Anonymous.On:				Anonymer Modus AN.

# /Assist
Commands.Players.Assist.CantAssistYourself:		Ihr könnt Euch nicht selbst helfen.
Commands.Players.Assist.DoesntHaveTarget:		 hat zur Zeit kein Ziel.
Commands.Players.Assist.DontSee:				Ihr seht hier weit und breit niemanden mit dem Namen {0}!
Commands.Players.Assist.MemberNotFound:			Es gibt keinen Spieler mit diesem Namen hier in der Gegend.
Commands.Players.Assist.NoRealmMember:			{0} ist kein Mitglied Eures Reiches!
Commands.Players.Assist.NoTarget:			Ihr müsst einen Mitbürger Eures Heimatreiches aussuchen, dem Ihr helfen wollt.
Commands.Players.Assist.NotValid:			Hier gibt es niemanden, der so heißt.
Commands.Players.Assist.SelectMember:			Ihr müsst erst ein Mitglied Eures Reiches auswählen um es zu unterstützen.
Commands.Players.Assist.YouAssist:			Ihr helft {0}.

# /Autoloot
Commands.Players.Autoloot.Off:				Euer Autoloot-Status ist AUS. Ihr werdet nicht versuchen, alle erbeuteten Gegenstände und Münzen automatisch aufzuheben. Benutzt '/autoloot on', um diese Option anzuschalten.
Commands.Players.Autoloot.On:				Euer Autoloot-Status ist AN. Wenn Ihr alleine seid oder der Gruppenführer, werdet Ihr versuchen, alle erbeuteten Gegenstände und Münzen automatisch aufzuheben. Benutzt '/autoloot off', um diese Option abzuschalten.

# /Autosplit
Commands.Players.Autosplit.Coins:			Der Leiter ändert 
Commands.Players.Autosplit.InGroup:			Ihr müsst für diesen Befehl Mitglied einer Gruppe sein.
Commands.Players.Autosplit.Leader:			Ihr müsst für diesen Befehl Leiter der Gruppe sein.
Commands.Players.Autosplit.Loot:				Der Leiter ändert 
Commands.Players.Autosplit.Off:				Der Leiter hat den Autosplit-Status auf AUS gesetzt.
Commands.Players.Autosplit.On:				Der Leiter hat den Autosplit-Status auf EIN gesetzt.
Commands.Players.Autosplit.Self:				{0} ändert 

# /Battlegroup
Commands.Players.Battlegroup.AlreadyInBattlegroup:	Ihr seid bereits in einer Kampfgruppe.
Commands.Players.Battlegroup.BattlegroupCount:		Im Moment sind {1} Mitglieder in der Kampfgruppe. 			
Commands.Players.Battlegroup.BattleGroupLootNormal:	Der Loottyp der Kampfgruppe wurde auf normal gesetzt.   			
Commands.Players.Battlegroup.BattlegroupLootThresholdOff:Das Lootlevel der Kampfgruppe ist momentan ausgeschaltet.			
Commands.Players.Battlegroup.BattlegroupLootThresholdOn:	Das Lootlevel der Kampfgruppe ist momentan {0}.			
Commands.Players.Battlegroup.BattleGroupLootTreasurer:	Der Loottyp der Kampfgruppe wurde auf Schatzmeister gesetzt. 			
Commands.Players.Battlegroup.BattlegroupStatus:		Der momentane Status der Kampfgruppe ist: {0}. 			
Commands.Players.Battlegroup.BattlegroupTreasurerIs:	Der Schatzmeister der Kampfgruppe ist ab jetzt: {0}.			
Commands.Players.Battlegroup.BattlegroupTreasurerIsYou:	Ihr seid zum Schatzmeister der Kampfgruppe ernannt wurden.			
Commands.Players.Battlegroup.BattlegroupTreasurerOff:	Die Kampfgruppe hat momentan keinen Schatzmeister. 			
Commands.Players.Battlegroup.BattlegroupTreasurerOn:	Ihr habt {0} zum Schatzmeister der Kampfgruppe ernannt.
Commands.Players.Battlegroup.Help.Count:			/bg count - Zeigt die Anzahl der Kampfgruppenmitglieder. 			
Commands.Players.Battlegroup.Help.Credit:		/bg credit - Zeigt an, welche Meisterstufen-Encounter in den letzten 10 Minuten in der Kampfgruppe gutgeschrieben wurden.
Commands.Players.Battlegroup.Help.GrantCredit:		/bg grantcredit <Meisterstufe> <Spieler> - Schreibt dem <Spieler> den <Meisterstufe> Schritt gut. Es muss sich dabei um einen Kampfgruppenencounter handeln!.
Commands.Players.Battlegroup.Help.GroupClass:		/bg groupclass - Zeigt die Klassen für jede Gruppe in der Kampfgruppe.
Commands.Players.Battlegroup.Help.Groups:		/bg groups - Zeigt alle Gruppen und deren Mitglieder in der Kampfgruppe. Ist ein Spieler zwar in einer Gruppe, nicht aber in der Kampfgruppe, wird dieser Name in <Klammern> gezeigt. Zeigt auch die Solo-Spieler (mit Level und Klasse) an.			
Commands.Players.Battlegroup.Help.Help:			/bg help - Zeigt die Hilfe zur Befehlsformulierung an.
Commands.Players.Battlegroup.Help.Invite:		/bg invite <Name> - Lädt einen Spieler in die Kampfgruppe ein. Ist dies eine öffentliche Kampfgruppe, kann der Befehl von jedem Kampfgruppenmitglied benutzt werden, ansonsten nur vom Kampfgruppenleiter.
Commands.Players.Battlegroup.Help.JoinPrivate:		/bg join <Leitername> <Passwort> - Ihr tretet einer passwortgeschützten Kampfgruppe bei.	
Commands.Players.Battlegroup.Help.JoinPublic:		/bg join <Leitername> - Ihr tretet einer öffentlichen Kampfgruppe bei.	
Commands.Players.Battlegroup.Help.Leader:		/bg promote <name> - Übergibt die Leitung der Kampfgruppe an einen anderen Spieler. (Nur Leiter)
Commands.Players.Battlegroup.Help.Leave:			/bg leave - Ihr verlasst die battlegruppe.
Commands.Players.Battlegroup.Help.Listen:		/bg listen - Schaltet die Kampfgruppe auf "Nur lesen". Nur noch der Kampfgruppenleiter und die Moderatoren können etwas schreiben. (Nur Leiter)
Commands.Players.Battlegroup.Help.Loot:			/bg loot <normal>/<treasurer> – Schaltet den Schatzmeister der Kampfgruppe ein (treasurer) oder aus (normal). (Nur Leiter) 			
Commands.Players.Battlegroup.Help.LootLevel:		/bg lootlevel <level> -	Setzt das Level fest, ab dem ein Gegenstand an den Schatzhüter geht. (Nur Leiter)
Commands.Players.Battlegroup.Help.PasswordClear:		/bg password clear - Löscht das aktuelle Passwort (Nur Leiter)	
Commands.Players.Battlegroup.Help.PasswordDisplay:	/bg password - Zeigt das aktuelle Passwort (Nur dem Leiter)	
Commands.Players.Battlegroup.Help.PasswordNew:		/bg password <Neues Passwort> - Setzt ein (neues) Passwort für die Kampfgruppe. (Nur Leiter)	
Commands.Players.Battlegroup.Help.Private:		/bg private - Schaltet die Kampfgruppe auf Nicht-Öffentlich. Man muss das Passwort kenne oder von einem Leiter eingeladen werden um beizutreten. (Nur Leiter)
Commands.Players.Battlegroup.Help.Public:		/bg public - Schaltet die Kampfgruppe "Öffentlich". Dann kann jeder mit "/cg join <Leitername>" der Kampfgruppe beitreten. Ausserdem ist sie dann unter "/who BG" finden. (Nur Leiter)
Commands.Players.Battlegroup.Help.Remove:		/bg remove <Name> - Wirft einen Spieler aus der Kampfgruppe. (Nur Leiter)
Commands.Players.Battlegroup.Help.Status:		/bg status - Zeigt Informationen wie den Leiter, die Moderatoren und Beuteverteilungseinstellungen an.
Commands.Players.Battlegroup.Help.Treasurer:		/bg treasurer <name> – Setzt einen Spieler in der Kampfgruppe als Schatzhüter ein. Dieser Spieler erhält (wenn "/bg loot treasurer" an ist) alle Gegenstände, die ein höheres Level als mit "/bg lootlevel" festgelegt. Dies funktioniert nur in einer bestimmten Reichweite (4.000 Einheiten?) um den aufgehobenen Gegenstand und nicht über Ladezonen-Grenzen hinweg. (Nur Leiter) 			
Commands.Players.Battlegroup.Help.Usage:			Befehle für "/bg" sind:
Commands.Players.Battlegroup.Help.Who:			/bg who - Zeigt alle Mitglieder der Kampfgruppe.
Commands.Players.Battlegroup.InBattleGroup:		Ihr seid zur Zeit in keiner Kampfgruppe!
Commands.Players.Battlegroup.InviteYourself:		Ihr könnt Euch nicht selber einladen.	
Commands.Players.Battlegroup.JoinBattleGroup:		Wollt Ihr der Kampfgruppe von {0} beitreten?	
Commands.Players.Battlegroup.LeaderCommand:		Diesen Befehl kann nur der Leiter der Kampfgruppe geben.	
Commands.Players.Battlegroup.LeaderInvite:		Ihr müsst der Leiter der Kampfgruppe sein, um einen Spieler einladen zukönnen.
Commands.Players.Battlegroup.ListenMode:			Der "Nur Lesen"-Status der Kampfgruppe wurde geändert.
Commands.Players.Battlegroup.Moderator:			{0} ist Moderator geworden.
Commands.Players.Battlegroup.NoPlayer:			Ein Spieler mit diesem Namen ist zur Zeit nicht im Spiel oder gehört einem anderen Reich an.
Commands.Players.Battlegroup.NotBattleGroupLeader:	Dieser Spieler ist kein Leiter einer Kampfgruppe.	
Commands.Players.Battlegroup.NotBattleGroupMember:	Dieser Spieler gehört keiner Kampfgruppe an.	
Commands.Players.Battlegroup.NotPublic:			Das ist keine öffentliche Kampfruppe.
Commands.Players.Battlegroup.OnlyModerator:		Nur der Leiter oder ein Moderator kann in dieser Kampfgruppe sprechen.	
Commands.Players.Battlegroup.OwnBattleGroup:		Eurer eigenen Kampfgruppe könnt Ihr nicht beitreten.
Commands.Players.Battlegroup.Password:			Das Passwort der Kampfgruppe lautet: {0}.
Commands.Players.Battlegroup.PasswordChanged:		Ihr habt das Passwort der Kampfgruppe geändert in: {0}.	
Commands.Players.Battlegroup.PlayerInBattlegroup:	{0} ist bereits Mitglied einer Kampfgruppe.	
Commands.Players.Battlegroup.Private:			Dies ist nun eine private Kampfgruppe.
Commands.Players.Battlegroup.Public:			Dies ist nun eine öffentliche Kampfgruppe.
Commands.Players.Battlegroup.Usage:			Verwendet: /bc <text>
Commands.Players.Battlegroup.UsageInvite:		Verwendet: /bg invite <playername>

# Boats
Commands.Player.Boat.AlreadyOnBoat:			Dieser Spieler ist bereits in einem Boot!
Commands.Player.Boat.BoardingDenied:			Eure Bitte an Bord des {0} kommen zu dürfen wurde abgelehnt.
Commands.Player.Boat.BoardingGranted:			Eurer Bitte an Bord kommen zu dürfen wurde entsprochen.
Commands.Player.Boat.BoardingRequest:			{0} würde gern an Bord Eures Schiffes komment. Wollt Ihr das zulassen?
Commands.Player.Boat.BoatTooFar:				{0} ist zu weit entfernt um einsteigen zu können.
Commands.Player.Boat.BootedBy:				{0} hat Euch von Bord geworfen.
Commands.Player.Boat.BootedTarget:			Ihr habt {0} von Bord geworfen.
Commands.Player.Boat.DeleteConfirmation:			Wollt Ihr Euer Boot {0} wirklich zerstören?
Commands.Player.Boat.FullBoat:				Das Boot kann keine weiteren Passagiere aufnehmen.
Commands.Player.Boat.Help.Board:				/boat board - An Bord des ausgewählten Bootes gehen.
Commands.Player.Boat.Help.Boot:				/boat boot - Wirft den ausgewählten Spieler von Bord.
Commands.Player.Boat.Help.Delete:			/boat delete - Zerstört das Boot, aber fragt zuvor um Eure Zustimmung.
Commands.Player.Boat.Help.Follow:			/boat follow - Gibt Eurem Boot die Anweisung Eurem Ziel zu folgen.
Commands.Player.Boat.Help.StopFollow:			/boat stopfollow - Gibt Eurem Boot die Anweisung nicht mehr Eurem Ziel zu folgen.
Commands.Player.Boat.Help.Summon:			/boat summon - Ruft Euer Boot herbei.
Commands.Player.Boat.Help.Unsummon:			/boat unsummon - Läßt Euer Boot im Rucksack verschwinden.
Commands.Player.Boat.InviteNoSelf:			Ihr könnt Euch nicht selbst einladen!
Commands.Player.Boat.InviteRecieved:			{0} hat Euch eingeladen an Bord zu kommen.
Commands.Player.Boat.InviteSent:				Ihr habt {0} eingeladen an Bord zu kommen.
Commands.Player.Boat.MoveFollow:				Euer Boot folgt nun {0}.
Commands.Player.Boat.NoBoatSelected:			Ihr müßt erst ein Boot auswählen!
Commands.Player.Boat.NoPlayerSelected:			Ihr müßt zunächst einen Spieler auswählen.
Commands.Player.Boat.NotInWater:				Ihr müßt Euch ins Wasser begeben um Euer Boot benutzen zu können!
Commands.Player.Boat.NotOwnBoat:				Ihr besitzt kein eigenes Boot.
Commands.Player.Boat.OwnerNotOn:				Der Besitzer dieses Boots ist im Moment nicht online.
Commands.Player.Boat.PlayerIsDead:			Ihr könnt nicht mit einem toten Spieler interagieren!
Commands.Player.Boat.StopFollow:				Ihr bringt Euer Boot zum Anhalten.
Commands.Player.Boat.Summoned:				Euer {0} ist nun fahrbereit.
Commands.Player.Boat.TargetNotInBoat:			{0} befindet sich nicht an Bord.
Commands.Player.Boat.UnknownCommand:			That is not a valid boat command. /boat for help. Das ist kein gültiger Befehl für Boote. Für Hilfe gebt /boat ein.
Commands.Player.Boat.Unsummoned:				Euer {0} verschwindet in Eurem Rucksack.
Commands.Player.Boat.Usage:				Verwendet:
Commands.Player.Boat.YouBoard:				Ihr geht an Bord des {0}.

# /Boot
Commands.Players.Boot.InHouseError:			Ihr müsst Euch in Eurem Haus befinden, um diesen Befehl verwenden zu können!
Commands.Players.Boot.NoHouseError:			Ihr besitzt kein Haus!
Commands.Players.Boot.NoOneOnline:			Niemand ist mit diesem Namen online den Ihr kicken könnt!
Commands.Players.Boot.YouRemoved:			Ihr wurdet von {0} aus dem Haus geworfen!

# /Bountyrent
#Commands.Players.Bountyrent.InHouseError:		Ihr müsst Euch in Eurem Haus befinden, um diesen Befehl verwenden zu können!
#Commands.Players.Bountyrent.NoHouseError:		Ihr besitzt kein Haus!
Commands.Players.Bountyrent.AlreadyMaxMoney:		In dieser Mietkasse ist bereits das Maximum an möglichem Gold!
Commands.Players.Bountyrent.CmdUsage:                   Ein Kopfgeldpunkt wird zurzeit in {0} Kupfer umgewandelt. Benutzt '/bountyrent personal/guild <amount>' zum Bezahlen.
Commands.Players.Bountyrent.CorrectFormat:		Das korrekte Format ist '/bountyrent personal | guild <Anzahl>'
Commands.Players.Bountyrent.NotAHouseGuildLeader:	Dieses Haus gehört keiner Gilde, deren Gildenleiter Ihr seid!
Commands.Players.Bountyrent.NotEnoughBp:			Ihr habt nicht genug Kopfgeldpunkte.
Commands.Players.Bountyrent.NotEnoughGuildBp:		Eure Gilde hat nicht genug Kopfgeldpunkte.
Commands.Players.Bountyrent.NoPayRentPerm:		Ihr habt nicht die Erlaubnis, den '/bountyrent'-Befehl hier zu benutzen!
