
ROG.FocusPrefix: Fokus
ROG.ItemFormat.Focus: {0} {2} {1}
ROG.ItemFormat.Tiered.Focus: {0} {1} {3} {2}
ROG.ItemFormat.CustomTiered.Focus: {1} {0} {3} {2}

ROG.ItemFormat: {0} {1}
ROG.ItemFormat.Tiered: {0} {1} {2}
ROG.MobDropFormat: {0}s {1}
ROG.ItemFormat.CustomTiered: {1} {0} {2}

# ================================
# MATERIAL PREFIXES
# ================================
ROG.Prefix.Woolen: Woll
ROG.Prefix.Linen: Leinen
ROG.Prefix.Brocade: Brokat
ROG.Prefix.Rawhide: Rohleder
ROG.Prefix.Tanned: Gegerbt
ROG.Prefix.Cured: Gehärtet
ROG.Prefix.Bronze: Bronze
ROG.Prefix.Copper: Kupfer
ROG.Prefix.Brass: Messing
ROG.Prefix.FineAlloy: Feinlegierungs
ROG.Prefix.Iron: Eisen
ROG.Prefix.Steel: Stahl
ROG.Prefix.Rowan: Ebereschen
ROG.Prefix.Elm: Ulmen
ROG.Prefix.Ash: Eschen

# ================================
# PREFIXES
# ================================
ROG.Prefix.Mighty: Mächtig
ROG.Prefix.Adroit: Geschickt
ROG.Prefix.Fortifying: Stärkend
ROG.Prefix.Speedy: Schnell
ROG.Prefix.Insightful: Einsichtsvoll
ROG.Prefix.Willful: Willensstark
ROG.Prefix.Attuned: Eingestimmt
ROG.Prefix.Glib: Wortgewandt
ROG.Prefix.Sturdy: Robust
ROG.Prefix.Arcane: Arkan
ROG.Prefix.Brilliant: Brillant
ROG.Prefix.Bodybender: Körperbändiger
ROG.Prefix.Icebender: Eisbändiger
ROG.Prefix.Bluntbender: Schlagbändiger
ROG.Prefix.Energybender: Energiebändiger
ROG.Prefix.Heatbender: Hitzebändiger
ROG.Prefix.Matterbender: Materiebändiger
ROG.Prefix.Edgebender: Klingenbändiger
ROG.Prefix.Spiritbender: Geisterbändiger
ROG.Prefix.Thrustbender: Stichbändiger
ROG.Prefix.Essencebender: Essenzbändiger
ROG.Prefix.Skillful: Gekonnt
ROG.Prefix.Mystical: Mystisch
ROG.Prefix.Gladiator: Gladiator
ROG.Prefix.Duelist: Duellant
ROG.Prefix.Bowmaster: Bogenmeister
ROG.Prefix.Focused: Fokussiert
ROG.Prefix.Honed: Geschliffen
ROG.Prefix.Battering: Rammend
ROG.Prefix.Perforator: Durchbohrend
ROG.Prefix.Sundering: Spaltend
ROG.Prefix.Decimator: Vernichtend
ROG.Prefix.Tensile: Dehnbar
ROG.Prefix.Razored: Rasiermesserscharf
ROG.Prefix.Crushing: Zerschmetternd
ROG.Prefix.Lancenator: Lanzenreiter
ROG.Prefix.Whirling: Wirbelnd
ROG.Prefix.Impaling: Pfählend
ROG.Prefix.Serrated: Gezackt
ROG.Prefix.Demolishing: Zerstörend
ROG.Prefix.SwatheCutters: Schneidend
ROG.Prefix.Cleaving: Zerteilend
ROG.Prefix.Reapers: Schnitter
ROG.Prefix.Thunderer: Donnernd
ROG.Prefix.Martial: Martialisch
ROG.Prefix.Lifetaker: Lebensnehmer
ROG.Prefix.Truefire: Wahrfeuer
ROG.Prefix.Winged: Geflügelt
ROG.Prefix.Hawk: Falken
ROG.Prefix.Dragon: Drachen
ROG.Prefix.Catapult: Katapult
ROG.Prefix.Snipers: Scharfschützen
ROG.Prefix.Earthsplitter: Erdspalter
ROG.Prefix.SoulCrusher: Seelenbrecher
ROG.Prefix.Spiritbound: Geistgebunden
ROG.Prefix.Dominating: Dominierend
ROG.Prefix.Earthborn: Erdgeboren
ROG.Prefix.Iceborn: Eisgeboren
ROG.Prefix.Flameborn: Flammengeboren
ROG.Prefix.Airy: Luftig
ROG.Prefix.Minionbound: Dienergebunden
ROG.Prefix.DeathBinder: Todesbinder
ROG.Prefix.Painbound: Schmerzgebunden
ROG.Prefix.SoulTaker: Seelennehmer
ROG.Prefix.Earthshaker: Erschütternd
ROG.Prefix.Fervent: Feurig
ROG.Prefix.Rejuvenating: Verjüngend
ROG.Prefix.Lightbender: Lichtbändiger
ROG.Prefix.Voidbender: Leerenbändiger
ROG.Prefix.Starbinder: Sternenbilder
ROG.Prefix.Chanter: Sänger
ROG.Prefix.Mindbinder: Verstandsbinder
ROG.Prefix.Forestbound: Waldgebunden
ROG.Prefix.Plantbound: Pflanzengebunden
ROG.Prefix.Animalbound: Tiergebunden
ROG.Prefix.Withering: Welkend
ROG.Prefix.ArborDefender: Baumverteidiger
ROG.Prefix.ValeDefender: Talverteidiger
ROG.Prefix.Shadowbender: Schattenbändiger
ROG.Prefix.Spiritbinder: Geisterbinder
ROG.Prefix.Runebender: Runenbändiger
ROG.Prefix.Stormcaller: Sturmrufer
ROG.Prefix.Soulbinder: Seelenbinder
ROG.Prefix.Blighted: Verdreckt
ROG.Prefix.Bodymender: Körperheiler
ROG.Prefix.Empowering: Ermächtigend
ROG.Prefix.Ancestral: Ahnen
ROG.Prefix.Shadowwalker: Schattenläufer
ROG.Prefix.Venomous: Giftig
ROG.Prefix.Melodic: Melodisch
ROG.Prefix.Resonant: Resonant
ROG.Prefix.Motivating: Motivierend
ROG.Prefix.Bladeblocker: Klingenblocker
ROG.Prefix.Protectors: Beschützer
ROG.Prefix.Courageous: Mutig
ROG.Prefix.Pacifying: Besänftigend
ROG.Prefix.Savage: Wild
ROG.Prefix.Nightshade: Nachtschatten
ROG.Prefix.Trail: Pfadfinder
ROG.Prefix.Lifebender: Lebensbändiger
ROG.Prefix.Ardent: Inbrünstig
ROG.Prefix.Deathly: Tödlich
ROG.Prefix.Feverish: Fieberhaft
ROG.Prefix.Ominous: Ominös
ROG.Prefix.Tormentbound: Qualgebunden
ROG.Prefix.Wraithbound: Spukgebunden
ROG.Prefix.VoidBinder: Leerenbinder
ROG.Prefix.Shrill: Grell
ROG.Prefix.Keening: Klagend
ROG.Prefix.Uncanny: Unheimlich
ROG.Prefix.Infernal: Höllisch
ROG.Prefix.Bedeviled: Verflucht
ROG.Prefix.Diabolic: Diabolisch
ROG.Prefix.Aural: Aural
ROG.Prefix.Brawling: Prügelnd
ROG.Prefix.Maulers: Schläger
ROG.Prefix.Magnetic: Magnetisch
ROG.Prefix.Striking: Schlagend
ROG.Prefix.Hardened: Gehärtet
ROG.Prefix.Impenetrable: Undurchdringlich
ROG.Prefix.Swift: Flink
ROG.Prefix.Devastating: Verheerend
ROG.Prefix.Masterful: Meisterhaft
ROG.Prefix.Fatal: Fatal
ROG.Prefix.Unerring: Unfehlbar
ROG.Prefix.Accurate: Akkurat
ROG.Prefix.Vengeful: Rachsüchtig
ROG.Prefix.Phalanx: Phalanx
ROG.Prefix.Guarding: Bewachend
ROG.Prefix.Retaliators: Vergeltend
ROG.Prefix.Tireless: Unermüdlich
ROG.Prefix.Far-Reaching: Weitreichend
ROG.Prefix.Piercing: Durchdringend
ROG.Prefix.Projecting: Projizierend
ROG.Prefix.Transcendent: Transzendent
ROG.Prefix.Efficient: Effizient
ROG.Prefix.Flawless: Makellos
ROG.Prefix.Cataclysmic: Kataklysmisch
ROG.Prefix.Elusive: Ausweichend
ROG.Prefix.Deflecting: Ablenkend
ROG.Prefix.Parrying: Parierend
ROG.Prefix.Troll-blood: Trollblut
ROG.Prefix.Invigorating: Belebend
ROG.Prefix.Relentless: Unerbittlich
ROG.Prefix.Awakening: Erwachend
ROG.Prefix.Unshaken: Unerschütterlich
ROG.Prefix.Unfettered: Ungefesselt
ROG.Prefix.Cleansing: Reinigend
ROG.Prefix.Fleet: Flinkfüßig
ROG.Prefix.Amphibious: Amphibisch
ROG.Prefix.Sure-Strike: Sicherer Schlag
ROG.Prefix.Exalted: Erhaben
ROG.Prefix.Apex: Apex
ROG.Prefix.Ablative: Ablativ
ROG.Prefix.Volleying: Salven
ROG.Prefix.Scavengers: Plünderer
ROG.Prefix.Augmenting: Verstärkend
ROG.Prefix.Alacritous: Bereitwillig
ROG.Prefix.Redeeming: Erlösend
ROG.Prefix.Enfeebling: Schwächend
ROG.Prefix.Vigorous: Kräftig
ROG.Prefix.Restorative: Wiederherstellend
ROG.Prefix.Expansive: Expansiv
ROG.Prefix.Penetrating: Durchdringend
ROG.Prefix.Ruinous: Ruinös
ROG.Prefix.Lingering: Verweilend
ROG.Prefix.Vicious: Bösartig
ROG.Prefix.Unleashed: Entfesselt
ROG.Prefix.Corporeal: Körperlich
ROG.Prefix.Frost-warded: Frostgeschützt
ROG.Prefix.Unshatterable: Unzerbrechlich
ROG.Prefix.Grounded: Geerdet
ROG.Prefix.Fire-forged: Feuergeschmiedet
ROG.Prefix.Immutable: Unveränderlich
ROG.Prefix.Unseverable: Untrennbar
ROG.Prefix.Inviolate: Unverletzt
ROG.Prefix.Unpierceable: Undurchbohrbar
ROG.Prefix.Grandiose: Grandios
ROG.Prefix.Slaughtering: Schlachtend
ROG.Prefix.Colossal: Kolossal
ROG.Prefix.Nullifying: Annullierend
ROG.Prefix.Glancing: Streifend
ROG.Prefix.Transmuting: Transmutierend
ROG.Prefix.Siphoning: Absaugend
ROG.Prefix.Purging: Läuternd
ROG.Prefix.Untouchable: Unantastbar
ROG.Prefix.Miraculous: Wundersam
ROG.Prefix.Agonizing: Qualvoll
ROG.Prefix.Ambidextrous: Beidhändig
ROG.Prefix.Twin-Striking: Zwillingsschlag
ROG.Prefix.Flurrying: Wirbelnd
ROG.Prefix.Corrosive: Korrosiv
ROG.Prefix.Composed: Gefasst
ROG.Prefix.Weightless: Schwerelos
ROG.Prefix.Unburdened: Unbelastet
ROG.Prefix.Oppressive: Beklemmend
ROG.Prefix.Everlasting: Ewig
ROG.Prefix.Aegis: Aegis
ROG.Prefix.Mirroring: Spiegelnd
ROG.Prefix.Titans: Titanen
ROG.Prefix.Serpents: Schlangen
ROG.Prefix.Leviathans: Leviathan
ROG.Prefix.Zephyrs: Zephyr
ROG.Prefix.Omniscient: Allwissend
ROG.Prefix.Divine: Göttlich
ROG.Prefix.Harmonic: Harmonisch
ROG.Prefix.Sovereigns: Herrscher
ROG.Prefix.Ascendant: Aufsteigend

# ================================
# BASE ITEM NAMES (Armor)
# ================================
ROG.BaseName.ClothCap: Stoffkappe
ROG.BaseName.ClothCoif: Stoffhaube
ROG.BaseName.ClothHelm: Stoffhelm
ROG.BaseName.ClothSleeves: Stoffärmel
ROG.BaseName.ClothArms: Stoffarmschutz
ROG.BaseName.ClothBoots: Stoffstiefel
ROG.BaseName.ClothGloves: Stoffhandschuhe
ROG.BaseName.ClothGauntlets: Stoffstulpen
ROG.BaseName.ClothPants: Stoffhose
ROG.BaseName.ClothLegs: Stoffbeinschutz
ROG.BaseName.ClothLeggings: Stoffgamaschen
ROG.BaseName.ClothHauberk: Stoffhauberk
ROG.BaseName.ClothBreastplate: Stoffbrustplatte
ROG.BaseName.ClothJerkin: Stoffwams
ROG.BaseName.ClothVest: Stoffweste
ROG.BaseName.ClothRobe: Stoffrobe

ROG.BaseName.LeatherCap: Lederkappe
ROG.BaseName.LeatherCoif: Lederhaube
ROG.BaseName.LeatherHelm: Lederhelm
ROG.BaseName.LeatherSleeves: Lederärmel
ROG.BaseName.LeatherArms: Lederarmschutz
ROG.BaseName.LeatherBoots: Lederstiefel
ROG.BaseName.LeatherGloves: Lederhandschuhe
ROG.BaseName.LeatherGauntlets: Lederstulpen
ROG.BaseName.LeatherPants: Lederhose
ROG.BaseName.LeatherLegs: Lederbeinschutz
ROG.BaseName.LeatherLeggings: Ledergamaschen
ROG.BaseName.LeatherHauberk: Lederhauberk
ROG.BaseName.LeatherBreastplate: Lederbrustplatte
ROG.BaseName.LeatherJerkin: Lederwams
ROG.BaseName.LeatherVest: Lederweste

ROG.BaseName.StuddedCap: Nieten-Kappe
ROG.BaseName.StuddedCoif: Nieten-Haube
ROG.BaseName.StuddedHelm: Nieten-Helm
ROG.BaseName.StuddedSleeves: Nieten-Ärmel
ROG.BaseName.StuddedArms: Nieten-Armschutz
ROG.BaseName.StuddedBoots: Nieten-Stiefel
ROG.BaseName.StuddedGloves: Nieten-Handschuhe
ROG.BaseName.StuddedGauntlets: Nieten-Stulpen
ROG.BaseName.StuddedPants: Nieten-Hose
ROG.BaseName.StuddedLegs: Nieten-Beinschutz
ROG.BaseName.StuddedLeggings: Nieten-Gamaschen
ROG.BaseName.StuddedHauberk: Nieten-Hauberk
ROG.BaseName.StuddedBreastplate: Nieten-Brustplatte
ROG.BaseName.StuddedJerkin: Nieten-Wams
ROG.BaseName.StuddedVest: Nieten-Weste

ROG.BaseName.ChainCap: Kettenkappe
ROG.BaseName.ChainCoif: Kettenhaube
ROG.BaseName.ChainHelm: Kettenhelm
ROG.BaseName.ChainSleeves: Kettenärmel
ROG.BaseName.ChainArms: Kettenarmschutz
ROG.BaseName.ChainBoots: Kettenstiefel
ROG.BaseName.ChainGloves: Kettenhandschuhe
ROG.BaseName.ChainGauntlets: Kettenstulpen
ROG.BaseName.ChainPants: Kettenhose
ROG.BaseName.ChainLegs: Kettenbeinschutz
ROG.BaseName.ChainLeggings: Kettengamaschen
ROG.BaseName.ChainHauberk: Kettenhauberk
ROG.BaseName.ChainBreastplate: Kettenbrustplatte
ROG.BaseName.ChainJerkin: Kettenwams
ROG.BaseName.ChainVest: Kettenweste

ROG.BaseName.PlateCap: Plattenkappe
ROG.BaseName.PlateCoif: Plattenhaube
