# HOUSING
# /house
House.DBHousePermissions.AccessLevel:			Access level {0}
House.Edit.NotEnoughMoney:				You don't have enough money to do that!
House.Edit.PayForChanges:				You pay {0} for your changes.
House.Enter.EnteredHouse:				You have entered house number {0}.
House.Enter.EnteringHouse:				Entering house {0}.
House.Exit.LeftHouse:					You have exited house number {0}.
House.SendHouseInfo.DoorMaterial:			-Door: {0}	
House.SendHouseInfo.ExteriorMaterials:			Exterior Materials:	
House.SendHouseInfo.ExteriorUpgrades:			Exterior Upgrades:	
House.SendHouseInfo.HouseOwner:				{0}'s house
House.SendHouseInfo.IndoorGuildBanner:			-Banner: {0}	
House.SendHouseInfo.IndoorGuildShield:			-Shield: {0}	
House.SendHouseInfo.InteriorCarpets:			Interior Carpets:	
House.SendHouseInfo.InteriorUpgrades:			Interior Upgrades:	
House.SendHouseInfo.Level:				Level: {0}
House.SendHouseInfo.Lockbox:				Lockbox: {0}
House.SendHouseInfo.Lotnum:				Lotnum: {0}
House.SendHouseInfo.MaxLockbox:				Max in Lockbox: {0}
House.SendHouseInfo.OutdoorGuildBanner:			-Banner: {0}	
House.SendHouseInfo.OutdoorGuildShield:			-Shield: {0}	
House.SendHouseInfo.Owner:				Owner: {0}
House.SendHouseInfo.Owners:				Owners:
House.SendHouseInfo.Porch:				Porch: 
House.SendHouseInfo.PorchEnabled:			-Enabled: {0}	
House.SendHouseInfo.PorchMaterial:			-Porch: {0}	
House.SendHouseInfo.PorchRoofColor:			-Color: {0}	
House.SendHouseInfo.RentalPrice:			Rental Price: {0}	
House.SendHouseInfo.RentDueIn:				Rent due in: {0} days, {1} hours
House.SendHouseInfo.RoofMaterial:			-Roof: {0}	
House.SendHouseInfo.Rug1Color:				-First Color: {0}
House.SendHouseInfo.Rug2Color:				-Second Color: {0}
House.SendHouseInfo.Rug3Color:				-Third Color: {0}
House.SendHouseInfo.Rug4Color:				-Fourth Color: {0}
House.SendHouseInfo.TrussMaterial:			-Support: {0}	
House.SendHouseInfo.WallMaterial:			-Wall: {0}	
House.SendHouseInfo.WindowMaterial:			-Shutter: {0}
House.SendHouseInfo.RentDueInSec:			Rent due in: {0} seconds
House.EmptyHookpoint.NotOwner:				Only the Owner of a House can remove or place Items on Hookpoints!
House.EmptyHookpoint.InvalidPosition:		Invalid hookpoint position {0}
House.EmptyHookpoint.NoItemFound:			No hookpoint item found at position {0}

HouseEnterLeave.TooFarAway:					You are too far to enter the house {0}.
HouseEnterLeave.CantEnter:					You cannot enter the house {0}.

HousingDecorationRotate.Rotated:			A {0} degrees to {1} degrees turned interior object.

# /HousingPlaceItemHandler
HousingPickupItemHandler.GardenRemoved:			Garden object removed.
HousingPickupItemHandler.PickUp:				You get {0} and put it in your backpack.
HousingPlaceItemHandler.30objects:				You have already placed 30 objects. You cannot place any more.
HousingPlaceItemHandler.40objects:				You have already placed 40 objects. You cannot place any more.
HousingPlaceItemHandler.CantFloor:				This object cannot be placed on the ground!
HousingPlaceItemHandler.CantWall:				This object cannot be placed on walls!
HousingPlaceItemHandler.DropOnFloor:			You drop the object {0} on the floor of your house.
HousingPlaceItemHandler.DropOnGarden:			You drop the object {0} in your garden.
HousingPlaceItemHandler.DropOnWall:				You place the object {0} on the wall of your house.
HousingPlaceItemHandler.GardenObjectPlaced:		Garden object placed. {0} slots remaining.
HousingPlaceItemHandler.GardenObjectPlacedName:		You have placed {0} in your garden.	
HousingPlaceItemHandler.HasPorch:				This house already has a porch!
HousingPlaceItemHandler.HasNoPorch:				This house does not have a porch!
HousingPlaceItemHandler.IndoorObjectPlaced:		Indoor object placed. {0} slots remaining.
HousingPlaceItemHandler.NoHookpoint:			There are no more hookpoints left!
HousingPlaceItemHandler.PutMoney:				You deposit money into your house lockbox account.
HousingPlaceItemHandler.NotOtherHouse:          You may not change other peoples houses.
HousingPlaceItemHandler.WarningRemoveAll:       Warning: This will remove *all* items from your current house!
HousingPlaceItemHandler.UpgradeConfirm:         Are you sure you want to upgrade your House?
HousingPlaceItemHandler.MustBeGuildMember:      You must be a member of a guild to do that.
HousingPlaceItemHandler.GuildAlreadyOwnsHouse:  Your Guild already owns a house.
