
# LANGUAGEMGR
System.LanguagesName.EN:					English
System.LanguagesName.FR:					French
System.LanguagesName.DE:					German
System.LanguagesName.ES:					Spanish
System.LanguagesName.CZ:					Czech
System.LanguagesName.IT:					Italian

# Miscellaneous Language
Language.Hours.Short:								{0}h
Language.Minutes.Short:								{0}min
Language.Seconds.Short:								{0}s
Language.Hours.Long:								{0} hours
Language.Minutes.Short:								{0} minutes
Language.Seconds.Short:								{0} seconds
Language.NotApplicable:								N/A

Language.Time.Long:                                 0 seconds
Language.Time.LongH:                                {0:%h} hours
Language.Time.Longh:                                {0:%h} hour
Language.Time.LongHM:                               {0:%h} hours and {0:%m} minutes
Language.Time.LongHm:                               {0:%h} hours and {0:%m} minute
Language.Time.LonghM:                               {0:%h} hour and {0:%m} minutes
Language.Time.Longhm:                               {0:%h} hour and {0:%m} minute
Language.Time.LongHMS:                              {0:%h} hours, {0:%m} minutes and {0:%s} seconds
Language.Time.LongHMs:                              {0:%h} hours, {0:%m} minutes and {0:%s} second
Language.Time.LongHmS:                              {0:%h} hours, {0:%m} minute and {0:%s} seconds
Language.Time.LongHms:                              {0:%h} hours, {0:%m} minute and {0:%s} second
Language.Time.LonghMS:                              {0:%h} hour, {0:%m} minutes and {0:%s} seconds
Language.Time.LonghMs:                              {0:%h} hour, {0:%m} minutes and {0:%s} second
Language.Time.LonghmS:                              {0:%h} hour, {0:%m} minute and {0:%s} seconds
Language.Time.Longhms:                              {0:%h} hour, {0:%m} minute and {0:%s} second
Language.Time.LongM:                                {0:%m} minutes
Language.Time.Longm:                                {0:%m} minute
Language.Time.LongMS:                               {0:%m} minutes and {0:%s} seconds
Language.Time.LongMs:                               {0:%m} minutes and {0:%s} second
Language.Time.LongmS:                               {0:%m} minute and {0:%s} seconds
Language.Time.Longms:                               {0:%m} minute and {0:%s} second
Language.Time.LongS:                                {0:%s} seconds
Language.Time.Longs:                                {0:%s} second

Language.Mithril.Amount:                                   {0} Mithril
Language.Platinum.Amount:                                  {0} Platinum
Language.Gold.Amount:                                      {0} Gold
Language.Silver.Amount:                                    {0} Silver
Language.Copper.Amount:                                    {0} Copper

Language.Systems.Spell:							Spell

# Stats
Language.Resists:								Resists
Language.DamageType.Natural.Noun:				Natural
Language.DamageType.Crush.Noun:					Crush
Language.DamageType.Slash.Noun:					Slash
Language.DamageType.Thrust.Noun:				Thrust
Language.DamageType.Body.Noun:					Body
Language.DamageType.Cold.Noun:					Cold
Language.DamageType.Energy.Noun:				Energy
Language.DamageType.Heat.Noun:					Heat
Language.DamageType.Matter.Noun:				Matter
Language.DamageType.Spirit.Noun:				Spirit
Language.DamageType.Falling.Noun:				Falling
Language.DamageType.GM.Noun:					Raw

Language.DamageType.Melee.Noun:					All Melee Damages
Language.DamageType.Spell.Noun:					All Spell Damages
Language.DamageType.DoT.Noun:					Damage over Time spells

Language.DamageType.Natural.Damage:				natural damage
Language.DamageType.Crush.Damage:				crush damage
Language.DamageType.Slash.Damage:				slash damage
Language.DamageType.Thrust.Damage:				thrust damage
Language.DamageType.Body.Damage:				body damage
Language.DamageType.Cold.Damage:				cold damage
Language.DamageType.Energy.Damage:				energy damage
Language.DamageType.Heat.Damage:				heat damage
Language.DamageType.Matter.Damage:				matter damage
Language.DamageType.Spirit.Damage:				spirit damage
Language.DamageType.Falling.Damage:				falling damage
Language.DamageType.GM.Damage:					raw damage

Language.DamageType.Melee.Damage:				melee damage
Language.DamageType.Spell.Damage:				spell damage
Language.DamageType.DoT.Damage:					damage-over-time

# Target
Language.SpellTarget.Realm:						realm
Language.SpellTarget.Self:						self
Language.SpellTarget.Enemy:						enemy
Language.SpellTarget.Pet:						pet
Language.SpellTarget.Group:						group
Language.SpellTarget.Area:						area
Language.SpellTarget.Corpse:					corpse
Language.SpellTarget.Unknown:					unknown target

# /horse
HorseEmote.graze.NoTargetToOthers:				{0} lets {1} mount graze.
HorseEmote.graze.NoTargetToSource:				You let your mount graze.

HorseEmote.pet.NoTargetToOthers:				{0} pets {1} mount.
HorseEmote.pet.NoTargetToSource:				You pet your mount.

HorseEmote.trick.ToOthers:					{0} stands on {2} mount to impress {1}.
HorseEmote.trick.ToSource:					You stand on your mount to impress {0}.
HorseEmote.trick.NoTargetToOthers:				{0} stands on {1} mount to impress everyone.
HorseEmote.trick.NoTargetToSource:				You stand on your mount to impress everyone.

Language.InternalError:							A server error has occured while trying to complete this action; please contact server staff.

# Server Intro RPG message
ServerRPGMessage.ShortDescription:		Welcome to Arcanum, a world forged from the ashes of the Great Magical War! In this immersive RP/PvP realm, fractured kingdoms vie for survival while Guilds dictate the law. Please consult the sacred tenets and server rules at www.arcanum-server.com. Sharpen your blades, ready your spells, and enjoy your journey in Arcanum!
ServerRPGMessage.Lore1:					Welcome to Arcanum !
ServerRPGMessage.Lore2:					Two thousand years ago, Arcanum was a shining lattice of floating citadels and mana forges. Then came the Great Magical War. Continents were torn apart, leaving a world scarred and thinned. From this wreckage, three realms rose: Valeria, Skeldheim, and Sylvaris. Today, kings rule on paper, but it is the Guilds that truly govern the fractured lands, while outlaws carve their own empires in the dark Underground. Choose your path wisely.
ServerRPGMessage.FeaturesHeader:		--------- SERVER FEATURES ---------
ServerRPGMessage.FeatureEvents1:		[Dynamic Events & Quests]
ServerRPGMessage.FeatureEvents2:		Participate in world-altering events and legendary boss hunts.
ServerRPGMessage.FeatureGvG1:			[Guild vs Guild (GvG)]
ServerRPGMessage.FeatureGvG2:			Capture Territories and Subterritories. Seize powerful Relics to grant your guild massive combat bonuses.
ServerRPGMessage.FeatureDungeons1:		[Dungeon Exploration]
ServerRPGMessage.FeatureDungeons2:		Brave the deep Underground, the labyrinthine DarkSpire, or the perilous Veil Rift.
ServerRPGMessage.FeaturePvP1:			[Player vs Player (PvP)]
ServerRPGMessage.FeaturePvP2:			Engage in epic PvP modes including Deathmatch, Capture the Flag, King of the Hill, Core Run, and Biohazard.
ServerRPGMessage.FeatureRenaissance1:	[Renaissance]
ServerRPGMessage.FeatureRenaissance2:	Legends say those who reach the pinnacle of their journey may undertake a perilous trial to be reborn. Start anew, but awaken with latent, god-like power to conquer even greater foes.
ServerRPGMessage.FeatureAFK1:			[Dynamic AFK Training]
ServerRPGMessage.FeatureAFK2:			Busy in the real world? Use special tokens earned from PvP and quests to train your character while away. Stand before a training dummy in any city and type '/afk xp' or '/afk combat' to gain combat experience!
ServerRPGMessage.FeatureBanker1:		[The Banker]
ServerRPGMessage.FeatureBanker2:		Target a banker and whisper 'withdraw money', 'write a check', 'cash a check', or 'term deposits' to manage your wealth. You can also automate house rent payments.
ServerRPGMessage.FeatureGuildCreation1:	[New Guild Creation system]
ServerRPGMessage.FeatureGuildCreation2:	Buy a blank scroll, use '/book create <Name>' and '/book write' to gather founders, then bring it to the Royal Treasury Clerk to get it stamped.
ServerRPGMessage.FeatureGuildLeveling1:	[Guild Leveling]
ServerRPGMessage.FeatureGuildLeveling2:	Guilds level up dynamically! Unlock new commands as you grow and strenghten your territories.
ServerRPGMessage.FeatureAdrenaline1:	[Adrenaline]
ServerRPGMessage.FeatureAdrenaline2:	Build combat tension in PvE and PvP to unleash devastating tactical advantages.
ServerRPGMessage.ServerCommandsHeader:	--------- NEW SERVER COMMANDS ---------
ServerRPGMessage.CmdLanguage:			/autotranslate <on|off> & /language: Translate chat and change your client's language.
ServerRPGMessage.CmdMarket:				/market <open|close|name>: Deploy, rename, or close your personal market.
ServerRPGMessage.CmdCraft:				/craftmacro <set|clear|show|buy|buyto>: Automate your crafting queue and easily buy missing recipe ingredients directly from merchants.
ServerRPGMessage.CmdVol:				/vol or /steal <player>: Use your lockpicks to steal coin or precious Territory Relics from rival players!
ServerRPGMessage.GuildCommandsHeader:	--------- NEW GUILD COMMANDS ---------
ServerRPGMessage.GCMap:					/gc territories & /gc subterritories : View GvG maps and statuses.
ServerRPGMessage.GCPortal:				/gc territoryportal : Open a portal directly to your claimed lands.
ServerRPGMessage.GCCombatZone:			/gc combatzone : Create a temporary PvP combat zone.
ServerRPGMessage.GCJail:				/gc jailrelease <name> : Pay bail to release a guildmate from prison.
ServerRPGMessage.GCRent:				/gc houserent <on|off> : Toggle automatic guild house rent payments.
ServerRPGMessage.GCBanners:				/gc territorybanner & /gc buybanner & /gc summon : Buy and deploy tactical banners to buff your members or territory guards.
ServerRPGMessage.Outro:					Good luck, and may your legacy in Arcanum be legendary!
