Commands.GM.GMAppeal.Description:			Commandes pour le staff du serveur afin d'aider les joueurs avec leurs appels.
Commands.GM.GMAppeal.Usage.View:			/gmappeal view <nom du joueur> - Affiche l'appel d'un joueur spécifique.
Commands.GM.GMAppeal.Usage.List:			/gmappeal list - Liste tous les appels en cours des joueurs en ligne dans une fenêtre.
Commands.GM.GMAppeal.Usage.ListAll:			/gmappeal listall - Liste les appels des joueurs en ligne et hors ligne dans une fenêtre.
Commands.GM.GMAppeal.Usage.Assist:			/gmappeal assist <nom du joueur> - Prend en charge l'appel du joueur et informe le reste du staff que vous l'aidez.
Commands.GM.GMAppeal.Usage.JumpTo:			/gmappeal jumpto - Vous téléporte vers le joueur que vous aidez (nécessite /gmappeal assist au préalable).
Commands.GM.GMAppeal.Usage.JumpBack:		/gmappeal jumpback - Vous ramène à votre position précédente après avoir aidé le joueur (nécessite /gmappeal jumpto au préalable).
Commands.GM.GMAppeal.Usage.Close:			/gmappeal close <nom du joueur> - Clôture l'appel et le retire de la file d'attente.
Commands.GM.GMAppeal.Usage.CloseOffLine:	/gmappeal closeoffline <nom du joueur> - Clôture l'appel d'un joueur qui n'est pas en ligne.
Commands.GM.GMAppeal.Usage.Release:			/gmappeal release <nom du joueur> - Libère l'appel du joueur pour qu'un autre membre du staff puisse s'en charger.
Commands.GM.GMAppeal.Usage.Mute:			/gmappeal mute - Active/désactive la réception des notifications d'appels pour vous-même durant cette session.
Commands.GM.GMAppeal.Usage.Commands:		/gmappeal commands - Liste toutes les commandes dans une fenêtre contextuelle.
