
# LANGUAGEMGR
System.LanguagesName.EN:					Anglais
System.LanguagesName.FR:					Français
System.LanguagesName.DE:					Allemand
System.LanguagesName.ES:					Espagnol
System.LanguagesName.CZ:					Tchèque
System.LanguagesName.IT:					Italien

# Miscellaneous Language
Language.Hours.Short:								{0}h
Language.Minutes.Short:								{0}min
Language.Seconds.Short:								{0}s
Language.Hours.Long:								{0} heures
Language.Minutes.Short:								{0} minutes
Language.Seconds.Short:								{0} secondes
Language.NotApplicable:								N/A

Language.Time.Long:									0 secondes
Language.Time.LongH:                                {0:%h} heures
Language.Time.Longh:                                {0:%h} heure
Language.Time.LongHM:                               {0:%h} heures et {0:%m} minutes
Language.Time.LongHm:                               {0:%h} heures et {0:%m} minute
Language.Time.LonghM:                               {0:%h} heure et {0:%m} minutes
Language.Time.Longhm:                               {0:%h} heure et {0:%m} minute
Language.Time.LongHMS:                              {0:%h} heures, {0:%m} minutes et {0:%s} secondes
Language.Time.LongHMs:                              {0:%h} heures, {0:%m} minutes et {0:%s} seconde
Language.Time.LongHmS:                              {0:%h} heures, {0:%m} minute et {0:%s} secondes
Language.Time.LongHms:                              {0:%h} heures, {0:%m} minute et {0:%s} seconde
Language.Time.LonghMS:                              {0:%h} heure, {0:%m} minutes et {0:%s} secondes
Language.Time.LonghMs:                              {0:%h} heure, {0:%m} minutes et {0:%s} seconde
Language.Time.LonghmS:                              {0:%h} heure, {0:%m} minute et {0:%s} secondes
Language.Time.Longhms:                              {0:%h} heure, {0:%m} minute et {0:%s} seconde
Language.Time.LongM:                                {0:%m} minutes
Language.Time.Longm:                                {0:%m} minute
Language.Time.LongMS:                               {0:%m} minutes et {0:%s} secondes
Language.Time.LongMs:                               {0:%m} minutes et {0:%s} seconde
Language.Time.LongmS:                               {0:%m} minute et {0:%s} secondes
Language.Time.Longms:                               {0:%m} minute et {0:%s} seconde
Language.Time.LongS:                                {0:%s} secondes
Language.Time.Longs:                                {0:%s} seconde

Language.Mithril.Amount:                                   {0} Mithril
Language.Platinum.Amount:                                  {0} Platine
Language.Gold.Amount:                                      {0} Or
Language.Silver.Amount:                                    {0} Argent
Language.Copper.Amount:                                    {0} Cuivre

Language.Systems.Spell:							Sort

# Stats
Language.Resists:								Résistances
Language.DamageType.Natural.Noun:				Naturel
Language.DamageType.Crush.Noun:					Concassant
Language.DamageType.Slash.Noun:					Tranchant
Language.DamageType.Thrust.Noun:				Force
Language.DamageType.Body.Noun:					Corps
Language.DamageType.Cold.Noun:					Froid
Language.DamageType.Energy.Noun:				Énergie
Language.DamageType.Heat.Noun:					Chaleur
Language.DamageType.Matter.Noun:				Matière
Language.DamageType.Spirit.Noun:				Esprit
Language.DamageType.Falling.Noun:				Chute
Language.DamageType.GM.Noun:					Brut

Language.DamageType.Melee.Noun:					Tous Dommages de Mélée
Language.DamageType.Spell.Noun:					Tous Dommages de Sorts
Language.DamageType.DoT.Noun:					Dégâts des effets sur la durée

Language.DamageType.Natural.Damage:				dégâts naturels
Language.DamageType.Crush.Damage:				dégâts concassant
Language.DamageType.Slash.Damage:				dégâts tranchant
Language.DamageType.Thrust.Damage:				dégâts de force
Language.DamageType.Body.Damage:				dégâts de corps
Language.DamageType.Cold.Damage:				dégâts de froid
Language.DamageType.Energy.Damage:				dégâts d'énergie
Language.DamageType.Heat.Damage:				dégâts de chaleur
Language.DamageType.Matter.Damage:				dégâts de matière
Language.DamageType.Spirit.Damage:				dégâts d'esprit
Language.DamageType.Falling.Damage:				dégâts de chute
Language.DamageType.GM.Damage:					dégâts bruts

Language.DamageType.Melee.Damage:				dégâts de mélée
Language.DamageType.Spell.Damage:				dégâts des sorts
Language.DamageType.DoT.Damage:					dégâts sur la durée

# Target
Language.SpellTarget.Realm:						royaume
Language.SpellTarget.Self:						solo
Language.SpellTarget.Enemy:						ennemi
Language.SpellTarget.Pet:						familier
Language.SpellTarget.Group:						groupe
Language.SpellTarget.Area:						zone
Language.SpellTarget.Corpse:					cadavre
Language.SpellTarget.Unknown:					cible inconnue

Language.InternalError:							Une erreur serveur est survenue lors de l'éxécution de cette action ; veuillez contacter le staff du serveur.

# Server Intro RPG message
ServerRPGMessage.ShortDescription:		Bienvenue sur Arcanum, un monde forgé dans les cendres de la Grande Guerre Magique ! Dans ce royaume immersif RP/PvP, des royaumes fracturés luttent pour leur survie tandis que les Guildes dictent la loi. Veuillez consulter les règles sacrées et celles du serveur sur www.arcanum-server.com. Aiguisez vos lames, préparez vos sorts, et profitez de votre aventure sur Arcanum !
ServerRPGMessage.Lore1:					Bienvenue sur Arcanum !
ServerRPGMessage.Lore2:					Il y a deux mille ans, Arcanum était un réseau étincelant de citadelles volantes et de forges de mana. Puis vint la Grande Guerre Magique. Les continents furent déchirés, laissant un monde meurtri et aminci. De ces ruines, trois royaumes se sont élevés : Valeria, Skeldheim et Sylvaris. Aujourd'hui, les rois gouvernent sur le papier, mais ce sont les Guildes qui dirigent véritablement ces terres fracturées, tandis que les hors-la-loi bâtissent leurs propres empires dans le sombre Souterrain. Choisissez votre voie avec sagesse.
ServerRPGMessage.FeaturesHeader:		--------- FONCTIONNALITÉS DU SERVEUR ---------
ServerRPGMessage.FeatureEvents1:		[Événements Dynamiques & Quêtes]
ServerRPGMessage.FeatureEvents2:		Participez à des événements modifiant le monde et à des chasses de boss légendaires.
ServerRPGMessage.FeatureGvG1:			[Guilde contre Guilde (GvG)]
ServerRPGMessage.FeatureGvG2:			Capturez des Territoires et Sous-territoires. Saisissez de puissantes Reliques pour accorder à votre guilde des bonus de combat massifs.
ServerRPGMessage.FeatureDungeons1:		[Exploration de Donjons]
ServerRPGMessage.FeatureDungeons2:		Bravez les profondeurs du Souterrain, le labyrinthe de DarkSpire, ou le périlleux Voile (Veil Rift).
ServerRPGMessage.FeaturePvP1:			[Joueur contre Joueur (PvP)]
ServerRPGMessage.FeaturePvP2:			Participez à des modes PvP épiques incluant Match à mort, Capture de Drapeau, Roi de la Colline, Course au Noyau (Core Run), et Risque Biologique (Biohazard).
ServerRPGMessage.FeatureRenaissance1:	[Renaissance]
ServerRPGMessage.FeatureRenaissance2:	Les légendes racontent que ceux qui atteignent le sommet de leur périple peuvent entreprendre une épreuve périlleuse pour renaître. Recommencez à zéro, mais éveillez-vous avec un pouvoir latent quasi-divin pour vaincre des ennemis encore plus redoutables.
ServerRPGMessage.FeatureAFK1:			[Entraînement AFK Dynamique]
ServerRPGMessage.FeatureAFK2:			Occupé dans le monde réel ? Utilisez des jetons spéciaux gagnés en PvP et lors de quêtes pour entraîner votre personnage pendant votre absence. Placez-vous devant un pantin d'entraînement dans n'importe quelle ville et tapez '/afk xp' ou '/afk combat' pour gagner de l'expérience de combat !
ServerRPGMessage.FeatureBanker1:		[Le Banquier]
ServerRPGMessage.FeatureBanker2:		Ciblez un banquier et murmurez 'retirer de l'argent', 'faire un chèque', 'encaisser un chèque' ou 'dépôts à terme' pour gérer votre richesse. Vous pouvez aussi automatiser le paiement du loyer de votre maison.
ServerRPGMessage.FeatureGuildCreation1:	[Nouveau système de Création de Guilde]
ServerRPGMessage.FeatureGuildCreation2:	Achetez un parchemin vierge, utilisez '/book create <Nom>' et '/book write' pour rassembler vos fondateurs, puis apportez-le au Trésorier Royal pour le faire tamponner.
ServerRPGMessage.FeatureGuildLeveling1:	[Niveaux de Guilde]
ServerRPGMessage.FeatureGuildLeveling2:	Les guildes montent en niveau dynamiquement ! Débloquez de nouvelles commandes en évoluant et renforcez vos territoires.
ServerRPGMessage.FeatureAdrenaline1:	[Adrénaline]
ServerRPGMessage.FeatureAdrenaline2:	Faites monter la tension de combat en PvE et PvP pour déclencher des avantages tactiques dévastateurs.
ServerRPGMessage.ServerCommandsHeader:	--------- NOUVELLES COMMANDES SERVEUR ---------
ServerRPGMessage.CmdLanguage:			/autotranslate <on|off> & /language : Traduisez le chat et changez la langue de votre client.
ServerRPGMessage.CmdMarket:				/market <open|close|name> : Déployez, renommez ou fermez votre marché personnel.
