# HOUSING (IT)
House.DBHousePermissions.AccessLevel:			Livello di accesso {0}
House.Edit.NotEnoughMoney:				Non hai abbastanza denaro per farlo!
House.Edit.PayForChanges:				Paga {0} per le modifiche.
House.Enter.EnteredHouse:				Sei entrato nella casa numero {0}.
House.Enter.EnteringHouse:				Entri nella casa di {0}.
House.Exit.LeftHouse:					Hai lasciato la casa numero {0}.
House.SendHouseInfo.DoorMaterial:			-Porta: {0}	
House.SendHouseInfo.ExteriorMaterials:			Materiali esterni:
House.SendHouseInfo.ExteriorUpgrades:			Migliorie esterne:	
House.SendHouseInfo.HouseOwner:				Casa di {0}
House.SendHouseInfo.IndoorGuildBanner:			-Stendardi: {0}	
House.SendHouseInfo.IndoorGuildShield:			-Scudi: {0}	
House.SendHouseInfo.InteriorCarpets:			Tappeti interni:	
House.SendHouseInfo.InteriorUpgrades:			Migliorie interne:	
House.SendHouseInfo.Level:					Livello: {0}
House.SendHouseInfo.Lockbox:					Cassa di sicurezza: {0}
House.SendHouseInfo.Lotnum:					Numero lotto: {0}
House.SendHouseInfo.MaxLockbox:				Capacità massima in cassa: {0}
House.SendHouseInfo.OutdoorGuildBanner:			-Stendardi: {0}	
House.SendHouseInfo.OutdoorGuildShield:			-Scudi: {0}	
House.SendHouseInfo.Owner:					Proprietario: {0}
House.SendHouseInfo.Owners:					Proprietari:
House.SendHouseInfo.Porch:					Veranda:
House.SendHouseInfo.PorchEnabled:				-Disponibile: {0}	
House.SendHouseInfo.PorchMaterial:				-Veranda: {0}	
House.SendHouseInfo.PorchRoofColor:				-Colore: {0}	
House.SendHouseInfo.RentalPrice:				Affitto: {0}	
House.SendHouseInfo.RentDueIn:				Scadenza tra: {0} giorni, {1} ore
House.SendHouseInfo.RoofMaterial:				-Tetto: {0}	
House.SendHouseInfo.Rug1Color:					-Colore 1: {0}
House.SendHouseInfo.Rug2Color:					-Colore 2: {0}
House.SendHouseInfo.Rug3Color:					-Colore 3: {0}
House.SendHouseInfo.Rug4Color:					-Colore 4: {0}
House.SendHouseInfo.TrussMaterial:				-Capriate: {0}	
House.SendHouseInfo.WallMaterial:				-Pareti: {0}	
House.SendHouseInfo.WindowMaterial:				-Finestre: {0}
House.SendHouseInfo.RentDueInSec:			Affitto in scadenza tra: {0} secondi
House.EmptyHookpoint.NotOwner:				Solo il proprietario di una casa può rimuovere o posizionare oggetti sui punti di ancoraggio!
House.EmptyHookpoint.InvalidPosition:		Posizione del punto di ancoraggio non valida {0}
House.EmptyHookpoint.NoItemFound:			Nessun oggetto del punto di ancoraggio trovato alla posizione {0}

HouseEnterLeave.TooFarAway:					Sei troppo lontano per entrare nella casa {0}.
HouseEnterLeave.CantEnter:					Non puoi entrare nella casa {0}.

HousingDecorationRotate.Rotated:			L'oggetto interno è stato ruotato da {0} gradi a {1} gradi.

# /HousingPlaceItemHandler
HousingPickupItemHandler.GardenRemoved:			Oggetto da giardino rimosso.
HousingPickupItemHandler.PickUp:				Metti {0} nel tuo inventario.
HousingPlaceItemHandler.30objects:				Hai già posizionato 30 oggetti. Non puoi posizionarne altri.
HousingPlaceItemHandler.40objects:				Hai già posizionato 40 oggetti. Non puoi posizionarne altri.
HousingPlaceItemHandler.CantFloor:				Questo oggetto non può essere posizionato sul pavimento!
HousingPlaceItemHandler.CantWall:				Questo oggetto non può essere posizionato su una parete!
HousingPlaceItemHandler.DropOnFloor:				Lascia l'oggetto {0} sul pavimento della tua casa.
HousingPlaceItemHandler.DropOnGarden:				Lascia l'oggetto {0} nel tuo giardino.
HousingPlaceItemHandler.DropOnWall:				Lascia l'oggetto {0} sulla parete della tua casa.
HousingPlaceItemHandler.GardenObjectPlaced:			Oggetto da giardino posizionato. {0} posti rimanenti.
